Lesson,Main verb / phrase,Conjugated forms / pattern,Mini grammar objective
1,sein,ich bin; du bist,Saying “I am…” and “you are…”
2,heißen,ich heiße; du heißt,Asking and answering “What is your name?”
3,kommen,ich komme; du kommst,Using aus with countries and cities
4,wohnen,ich wohne; du wohnst,Word order in simple statements
5,sprechen,ich spreche; du sprichst,Asking “Do you speak…?”
6,verstehen,ich verstehe; du verstehst,Negation with nicht
7,haben,ich habe; du hast,Using haben for family members
8,sein,er ist; sie ist,He/she forms with sein
9,möchten,ich möchte; du möchtest,Polite requests with ich möchte
10,nehmen,ich nehme; du nimmst,Verb in second position in questions
11,trinken,ich trinke; du trinkst,Saying what you like to drink
12,essen,ich esse; du isst,Stem-changing verb essen → du isst
13,sein,es ist; es ist sieben Uhr,Saying the time: Es ist…
14,aufstehen,ich stehe auf; du stehst auf,Separable verbs with aufstehen
15,arbeiten,ich arbeite; du arbeitest,Regular verb endings with extra -e-
16,gehen,ich gehe; du gehst,Using nach in basic movement phrases
17,fahren,ich fahre; du fährst,Stem-changing verb fahren → du fährst
18,kaufen,ich kaufe; du kaufst,Yes/no questions: Kaufst du…?
19,haben,ich habe einen; ich habe eine; ich habe ein,"Articles: der, die, das"
20,mögen,ich mag; du magst,Saying likes with gern and mögen
21,machen,ich mache; du machst; er macht; wir machen; ich habe gemacht,First intro to perfect tense: haben + gemacht
